date,station,kind,value_cm,quality,source_url
2025-11-08,東区,snowfall,9.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-08,白石区,snowfall,11.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-08,厚別区,snowfall,9.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-08,豊平区,snowfall,13.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-08,清田区,snowfall,11.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-08,南区(南31条西8丁目),snowfall,15.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-08,南区(定山渓),snowfall,24.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-08,西区(西野),snowfall,13.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-08,西区(平和),snowfall,26.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-08,手稲区,snowfall,7.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-09,中央区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-09,北区(太平),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-09,北区(あいの里),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-09,東区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-09,白石区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
